author,title,source,type,doi
"Fontenot, LW; Font, WF",Helminth parasites of four species of aquatic snakes for two habitats in southeastern Louisiana,JOURNAL OF THE HELMINTHOLOGICAL SOCIETY OF WASHINGTON,J,NA
"MARTIN, J",ACETYLCHOLINESTERASE ACTIVITY IN NIPPOSTRONGYLUS-BRASILIENSIS DURING THE COURSE OF A PRIMARY INFECTION IN NORMAL AND IN PROTEIN-DEFICIENT RATS,PARASITOLOGY,J,https://doi.org/10.1017/S0031182000050022
"METTRICK, DF; MUNRO, HN",STUDIES ON PROTEIN METABOLISM OF CESTODES .I. EFFECT OF HOST DIETARY CONSTITUENTS ON GROWTH OF HYMENOLEPIS DIMINUTA,PARASITOLOGY,J,https://doi.org/10.1017/S003118200006916X
"Arneberg, P; Skorping, A; Grenfell, B; Read, AF",Host densities as determinants of abundance in parasite communities,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,J,https://doi.org/10.1098/rspb.1998.0431
"Garenaux, Amelie; Caza, Melissa; Dozois, Charles M.",The Ins and Outs of siderophore mediated iron uptake by extra-intestinal pathogenic Escherichia coli,VETERINARY MICROBIOLOGY,J,https://doi.org/10.1016/j.vetmic.2011.05.023
"CHEO, PC; POUND, GS; WEATHERS, LG",THE RELATION OF HOST NUTRITION TO THE CONCENTRATION OF CUCUMBER VIRUS-1 IN SPINACH,PHYTOPATHOLOGY,J,NA
HURWITZ S; SHAMIR N; BAR A,EFFECT OF ASCARIDIA-GALLI ON PROTEIN AND ELECTROLYTE ABSORPTION FROM CHICKEN INTESTINES,"IAEA AND FAO. ISOTOPES AND RADIATION IN PARASITOLOGY III. PROCEEDINGS OF THE RESEARCH CO-ORDINATION MEETING. KABETE, KENYA, EAST AFRICA, NOVEMBER 22-26, 1971. 206P. ILLUS. INTERNATIONAL ATOMIC ENERGY AGENCY: VIENNA, AUSTRIA; (DIST. IN U.S.A. BY UNIPUB, INC.: NEW YORK, N.Y.)",B,NA
"Doenhoff, MJ; Stanley, RG; Griffiths, K; Jackson, CL",An anti-atherogenic effect of Schistosoma mansoni infections in mice associated with a parasite-induced lowering of blood total cholesterol,PARASITOLOGY,J,https://doi.org/10.1017/S0031182002002275
"JORDAN, RM; HANKE, HE",REDUCING LAMB PROTEIN LEVELS AND LIVER FLUKE UREA PROBLEMS,JOURNAL OF ANIMAL SCIENCE,J,NA
"PATEL, PRABODH NATHALAL",Studies on halo [Pseudomonas phaseolicola] and common [Xanthomonas phaseoli| bacterial blights of bean,DISSERT ABSTS,J,NA
"Fang, Zhuo; Sampson, Samantha Leigh; Warren, Robin Mark; van Pittius, Nicolaas Claudius Gey; Newton-Foot, Mae",Iron acquisition strategies in mycobacteria,TUBERCULOSIS,J,https://doi.org/10.1016/j.tube.2015.01.004
"Dwinell, MB; Bass, P; Schaefer, DM; Oaks, JA",Tapeworm infection decreases intestinal transit and enteric aerobic bacterial populations,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,J,https://doi.org/10.1152/ajpgi.1997.273.2.G480
"MCGLADDERY, SE","BEHAVIORAL-RESPONSES OF TRICHOSTRONGYLUS-TENUIS (COBBOLD) LARVAE IN RELATION TO THEIR TRANSMISSION TO THE RED GROUSE, LAGOPUS-LAGOPUS-SCOTICUS",JOURNAL OF HELMINTHOLOGY,J,https://doi.org/10.1017/S0022149X00025165
"Murga-Garrido, Sofia M.; Hong, Qilin; Cross, Tzu-Wen L.; Hutchison, Evan R.; Han, Jessica; Thomas, Sydney P.; Vivas, Eugenio I.; Denu, John; Ceschin, Danilo G.; Tang, Zheng-Zheng; Rey, Federico E.",Gut microbiome variation modulates the effects of dietary fiber on host metabolism,MICROBIOME,J,https://doi.org/10.1186/s40168-021-01061-6
"FERRIS, H",DENSITY-DEPENDENT NEMATODE SEASONAL MULTIPLICATION RATES AND OVERWINTER SURVIVORSHIP - A CRITICAL-POINT MODEL,JOURNAL OF NEMATOLOGY,J,NA
"Williams, Andrew R.; Myhill, Laura J.; Stolzenbach, Sophie; Nejsum, Peter; Mejer, Helena; Nielsen, Dennis S.; Thamsborg, Stig M.","Emerging interactions between diet, gastrointestinal helminth infection, and the gut microbiota in livestock",BMC VETERINARY RESEARCH,J,https://doi.org/10.1186/s12917-021-02752-w
"Eichmann, Ruth; Hueckelhoven, Ralph",Accommodation of powdery mildew fungi in intact plant cells,JOURNAL OF PLANT PHYSIOLOGY,J,https://doi.org/10.1016/j.jplph.2007.05.004
"Noto, Jennifer M.; Piazuelo, M. Blanca; Delgado, Alberto G.; Correa, Pelayo; Peek, Richard M.","Helicobacter pylori Suppresses Hepcidin, a Master Regulator of Iron Homeostasis, in a cag-Dependent Manner",GASTROENTEROLOGY,J,NA
"Rivero, A.; Agnew, P.; Bedhomme, S.; Sidobre, C.; Michalakis, Y.",Resource depletion in Aedes aegypti mosquitoes infected by the microsporidia Vavrala cullcis,PARASITOLOGY,J,https://doi.org/10.1017/S0031182007002703
"Imaizumi-Anraku, H",Legume nodulation and mycorrhiza formation-common genes are involved in both symbiotic interactions,NIPPON NOGEIKAGAKU KAISHI-JOURNAL OF THE JAPAN SOCIETY FOR BIOSCIENCE BIOTECHNOLOGY AND AGROCHEMISTRY,J,NA
"Wang, Guo-Hong",Effects of eggplant varieties on the growth and development of Henosepilachna vigintioctopunctata and its parasitoid.,Entomological Knowledge,J,NA
"Hahn, M.","The rust fungi: cytology, physiology and molecular biology of infection.",Fungal pathology,B,NA
"Mezei, Pavel; Grodzki, Wojciech; Blazenec, Miroslav; Skvarenina, Jaroslav; Brandysova, Veronika; Jakus, Rastislav",Host and site factors affecting tree mortality caused by the spruce bark beetle (Ips typographus) in mountainous conditions,FOREST ECOLOGY AND MANAGEMENT,J,https://doi.org/10.1016/j.foreco.2014.07.031
"Amin, Omar M.; Dusen, Serdar; Oguz, Mehmet C.",Review of the helminth parasites of Turkish anurans (Amphibia),Scientia Parasitologica,J,NA
"Fetterer, RH; Rhoads, ML",Characterization of haemolytic activity from adult Haemonchus contortus,INTERNATIONAL JOURNAL FOR PARASITOLOGY,J,https://doi.org/10.1016/S0020-7519(97)00078-7
Zhenkang Xu,"The infection of Moina macrocopa by a colonial peritrich, Epistylis daphniae, and its effects on the host.",Freshwater Biology,J,NA
"Quides, Kenjiro W.; Stomackin, Glenna M.; Lee, Hsu-Han; Chang, Jeff H.; Sachs, Joel L.",Lotus japonicus alters in planta fitness of Mesorhizobium loti dependent on symbiotic nitrogen fixation,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0185568
"Boza, Gergely; Worsley, Sarah F.; Yu, Douglas W.; Scheuring, Istvan",Efficient assembly and long-term stability of defensive microbiomes via private resources and community bistability,PLOS COMPUTATIONAL BIOLOGY,J,https://doi.org/10.1371/journal.pcbi.1007109
"Kim, Dennis H.",Bacterial Siderophores Promote Animal Host Iron Acquisition and Growth,CELL,J,https://doi.org/10.1016/j.cell.2018.09.020
"Benezech, Claire; Berrabah, Fathi; Jardinaud, Marie-Francoise; Le Scornet, Alexandre; Milhes, Marine; Jiang, Gaofei; George, Jeoffrey; Ratet, Pascal; Vailleau, Fabienne; Gourion, Benjamin",Medicago-Sinorhizobium-Ralstonia Co-infection Reveals Legume Nodules as Pathogen Confined Infection Sites Developing Weak Defenses,CURRENT BIOLOGY,J,https://doi.org/10.1016/j.cub.2019.11.066
"Gerasev, P.I.; Yunchis, L.A.",Some peculiarities of the structure of the digestive system of the monogeneans.,Trudy Zoologicheskogo Instituta,J,NA
"Bakiev, Andrey; Kirillov, Alexander; Mebert, Konrad","Diet and parasitic helminths of dice snakes from the Volga Basin, Russia.",Mertensiella,J,NA
"Aalto, Sanni L.; Decaestecker, Ellen; Pulkkinen, Katja",A three-way perspective of stoichiometric changes on host-parasite interactions,TRENDS IN PARASITOLOGY,J,https://doi.org/10.1016/j.pt.2015.04.005
"PRASAD, R; RAO, YVBG; SINDHU, RK; SUBRAHMANYAM, D",EFFECT OF PYRIDOXINE-DEFICIENCY ON LITOMOSOIDES-CARINII INFECTION IN ALBINO-RATS,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,J,https://doi.org/10.1016/0035-9203(80)90055-3
"KOBISHEV, N. M.",Parasite fauna of birds of prey in the Volgograd region.,Parasitic animals in the Volgograd region,B,NA
"ROMEU, J; ROIG, J; BADA, JL; RIERA, C; MUNOZ, C",ADULT HUMAN TOXOCARIASIS ACQUIRED BY EATING RAW SNAILS,JOURNAL OF INFECTIOUS DISEASES,J,https://doi.org/10.1093/infdis/164.2.438
"Tseleni-Kotsovili, A.",Factors concerning the survival and growth of pathogens in subepithelial host tissues,Deltion Ellenikes Mikrobiologikes Etaireias,J,NA
"Serrano, Carolina; Villagran, Andrea; Cofre, Colomba; Alvarez, Manuel; Venegas, Alejandro; Toledo, Hector; Harris, Paul R.",Helicobacter pylori Displays Differential Iron Regulated Gene Expression Depending on Iron Status of Their Host,GASTROENTEROLOGY,J,NA
"Chavanda, S.",Fatal ameobic meningo-enchephalitis in immunocompetent host in resource limited setting in India,JOURNAL OF THE NEUROLOGICAL SCIENCES,J,https://doi.org/10.1016/j.jns.2019.10.1023
"Reddy, Kirthi C.; Andersen, Erik C.; Kruglyak, Leonid; Kim, Dennis H.",A Polymorphism in npr-1 Is a Behavioral Determinant of Pathogen Susceptibility in C-elegans,SCIENCE,J,https://doi.org/10.1126/science.1166527
"Gooderham, J; Bailey, PCE; Gurr, GM; Baggen, LR","Sub-lethal effects of foliar pubescence on the egg parasitoid Copidosoma koehleri and influence on parasitism of potato moth, Phthorimaea operculella",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,J,https://doi.org/10.1046/j.1570-7458.1998.00312.x
"Presley, Steven J.; Dallas, Tad; Klingbeil, Brian T.; Willig, Michael R.",Phylogenetic signals in host-parasite associations for Neotropical bats and Nearctic desert rodents,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,J,https://doi.org/10.1111/bij.12601
"Schade, JD; Kyle, M; Hobbie, SE; Fagan, WF; Elser, JJ",Stoichiometric tracking of soil nutrients by a desert insect herbivore,ECOLOGY LETTERS,J,https://doi.org/10.1046/j.1461-0248.2003.00409.x
LO C-F; CHEN S-C; WANG C-H,THE STUDY OF CLINOSTOMUM-COMPLANATUM V. THE INFLUENCE OF METACERCARIA OF CLINOSTOMUM-COMPLANATUM ON FISH,Fish Pathology,J,NA
MULLIN B C; CHUNG S A,INOCULATION ON NON-HOST PLANTS WITH FRANKIA,"GRESSHOFF, P. M., ET AL. (ED.). NITROGEN FIXATION: ACHIEVEMENTS AND OBJECTIVES; 8TH INTERNATIONAL CONGRESS ON NITROGEN FIXATION, KNOXVILLE, TENNESSEE, USA, MAY 20-26, 1990. XIX+869P. ROUTLEDGE, CHAPMAN AND HALL: NEW YORK, NEW YORK, USA; LONDON, ENGLAND, UK. ILLUS",B,NA
"Dubey, JP; Gamble, HR; Hill, D; Sreekumar, C; Romand, S; Thulliez, P",High prevalence of viable Toxoplasma gondii infection in market weight pigs from a farm in Massachusetts,JOURNAL OF PARASITOLOGY,J,https://doi.org/10.2307/3285499
"Moskat, Csaba; Hauber, Mark E.; Louder, Matthew I. M.",The Evolution of Nest Sharing and Nest Mate Killing Strategies in Brood Parasites,"Avian Brood Parasitism: Behaviour, Ecology, Evolution and Coevolution",S,https://doi.org/10.1007/978-3-319-73138-4_26
"Sauce, Delphine; Elbim, Carole; Appay, Victor",Monitoring cellular immune markers in HIV infection: from activation to exhaustion,CURRENT OPINION IN HIV AND AIDS,J,https://doi.org/10.1097/COH.0b013e32835d08a9
"Prentice, Andrew M.; Ghattas, Hala; Doherty, Conor; Cox, Sharon E.",Iron metabolism and malaria,FOOD AND NUTRITION BULLETIN,J,https://doi.org/10.1177/15648265070284S406
"Armstrong, Peter B.",Comparative Biology of the Pentraxin Protein Family: Evolutionarily Conserved Component of Innate Immune System,"INTERNATIONAL REVIEW OF CELL AND MOLECULAR BIOLOGY, VOL 316",S,https://doi.org/10.1016/bs.ircmb.2015.01.002
"Magen, E; Borkow, G; Bentwich, Z; Mishal, J; Scharf, S",Can worms defend our hearts? Chronic helminthic infections may attenuate the development of cardiovascular diseases,MEDICAL HYPOTHESES,J,https://doi.org/10.1016/j.mehy.2004.09.028
"Sosa-Gomez, Daniel Ricardo",Implications of Plant Hosts and Insect Nutrition on Entomopathogenic Diseases,Insect Bioecology and Nutrition for Integrated Pest Management,B,NA
"Harthill, Michalann",Review: Micronutrient Selenium Deficiency Influences Evolution of Some Viral Infectious Diseases,BIOLOGICAL TRACE ELEMENT RESEARCH,J,https://doi.org/10.1007/s12011-011-8977-1
MOLDAWER L L; MOK K T; DINARELLO C A; BLACKBURN G L; BISTRIAN B R,PROTEIN MAL NUTRITION AND THE HOST RESPONSE TO INTERLEUKIN 1,Federation Proceedings,J,NA
"Frawley, Elaine R.; Fang, Ferric C.",The ins and outs of bacterial iron metabolism,MOLECULAR MICROBIOLOGY,J,https://doi.org/10.1111/mmi.12709
"Aires-de-Sousa, M.",Methicillin-resistant Staphylococcus aureus among animals: current overview,CLINICAL MICROBIOLOGY AND INFECTION,J,https://doi.org/10.1016/j.cmi.2016.11.002
"Sloan, Sarah; Jenvey, Caitlin; Cairns, Callum; Stear, Michael",Cathepsin F ofTeladorsagia circumcinctais a recently evolved cysteine protease,EVOLUTIONARY BIOINFORMATICS,J,https://doi.org/10.1177/1176934320962521
"Kontoghiorghes, George J.; Kolnagou, Annita; Skiada, Anna; Petrikkos, George",THE ROLE OF IRON AND CHELATORS ON INFECTIONS IN IRON OVERLOAD AND NON IRON LOADED CONDITIONS: PROSPECTS FOR THE DESIGN OF NEW ANTIMICROBIAL THERAPIES,HEMOGLOBIN,J,https://doi.org/10.3109/03630269.2010.483662
"de Jong, Mark; van den Ackerveken, Guido",FUNGAL AND OOMYCETE BIOTROPHY,Molecular Aspects of Plant Disease Resistance,S,https://doi.org/10.1111/b.9781405175326.2009.00004.x
"Belibasakis, Georgios N.; Bostanci, Nagihan; Marsh, Philip D.; Zaura, Egija",Applications of the oral microbiome in personalized dentistry,ARCHIVES OF ORAL BIOLOGY,J,https://doi.org/10.1016/j.archoralbio.2019.05.023
"Lamothe Argumedo, Rafael; Akahane, Hiroshige; Osorio Sarabia, David; Garcia Prieto, Luis","Finding of Gnathostoma turgidum in Didelphis virginiana of Temazcal, Oaxaca, Mexico",Anales del Instituto de Biologia Universidad Nacional Autonoma de Mexico Serie Zoologia,J,NA
"Jackson, Joseph A.; Friberg, Ida M.; Hablutzel, Pascal, I; Masud, Numair; Stewart, Alexander; Synnott, Rebecca; Cable, Joanne",Partitioning the environmental drivers of immunocompetence,SCIENCE OF THE TOTAL ENVIRONMENT,J,https://doi.org/10.1016/j.scitotenv.2020.141152
"JELLIFFE, DB",ASCARIASIS AND MALNUTRITION - A WORMS EYE VIEW,AMERICAN JOURNAL OF CLINICAL NUTRITION,J,NA
"Pirttila, AM; Frank, ACPirttila, AM; Frank, AC","Endophytes of Forest Trees: Biology and Applications, 2nd Edition","Endophytes of Forest Trees: Biology and Applications, 2nd Edition",S,NA
"Carlson, Monica L.; Proudfoot, Glenn A.; Gentile, Kaya; Dispoto, Janice; Weckstein, Jason D.",Haemosporidian prevalence in northern saw-whet owls Aegolius acadicus is predicted by host age and average annual temperature at breeding grounds,JOURNAL OF AVIAN BIOLOGY,J,https://doi.org/10.1111/jav.01817
"Crutsinger, G. M.; Sanders, N. J.; Albrectsen, B. R.; Abreu, I. N.; Wardle, D. A.",Ecosystem retrogression leads to increased insect abundance and herbivory across an island chronosequence,FUNCTIONAL ECOLOGY,J,https://doi.org/10.1111/j.1365-2435.2008.01435.x
"Micu, Gianina; Staniceanu, Florica; Zurac, Sabina; Gramada, Eliza; Bastian, Alexandra; Tudose, Irina; Mateescu, B R; Voiosu, R",Helicobacter pylori: pathological mechanism involved in gastric colonization.,Romanian journal of internal medicine = Revue roumaine de medecine interne,J,NA
"Lasky, Tamar; Etzel, Ruth; Angulo, Fred; Ward, Hester; Powell, Mark; Rubin, Carol",Food safety: Challenges to epidemiology,American Journal of Epidemiology,J,NA
"Preston, Daniel L.; Sauer, Erin L.",Infection pathology and competition mediate host biomass overcompensation from disease,ECOLOGY,J,https://doi.org/10.1002/ecy.3000
"SCHNEIDER, HOWARD A.",Relation of a specific nutrient in wheat to natural resistance to infection,TRANS AMER ASSOC CEREAL CHEM,J,NA
"Bahl, Justin; Vijaykrishna, Dhanasekaran; Holmes, Edward C.; Smith, Gavin J. D.; Guan, Yi",Gene flow and competitive exclusion of avian influenza A virus in natural reservoir hosts,VIROLOGY,J,https://doi.org/10.1016/j.virol.2009.05.002
"Hodgson, DJ",An experimental manipulation of the growth and dispersal strategy of a parasitic infection using monoclonal aphid colonies,EVOLUTIONARY ECOLOGY RESEARCH,J,NA
"Yang, Haile; Leng, Xiaoqian; Du, Hao; Luo, Jiang; Wu, Jinping; Wei, Qiwei",Adjusting the Prerelease Gut Microbial Community by Diet Training to Improve the Postrelease Fitness of Captive-Bred Acipenser dabryanus,FRONTIERS IN MICROBIOLOGY,J,https://doi.org/10.3389/fmicb.2020.00488
THOMPSON S N; MEJIA-SCALES V; BORCHARDT D B,PHYSIOLOGIC STUDIES OF SNAIL-SCHISTOSOME INTERACTIONS AND POTENTIAL FOR IMPROVEMENT OF IN-VITRO CULTURE OF SCHISTOSOMES,In Vitro Cellular and Developmental Biology,J,https://doi.org/10.1007/BF02631151
"Romano, Julia D.; de Beaumont, Catherine; Carrasco, Jose A.; Ehrenman, Karen; Bavoil, Patrik M.; Coppens, Isabelle",A novel co-infection model with Toxoplasma and Chlamydia trachomatis highlights the importance of host cell manipulation for nutrient scavenging,CELLULAR MICROBIOLOGY,J,https://doi.org/10.1111/cmi.12060
"Horlbog, Jule Anna; Kent, David; Stephan, Roger; Guldimann, Claudia",Surviving host - and food relevant stresses: phenotype of L. monocytogenes strains isolated from food and clinical sources,SCIENTIFIC REPORTS,J,https://doi.org/10.1038/s41598-018-30723-z
"MORAVEC, F.",Prispevek k poznani helmintofauny nasich plazu.,Spisy pfir. Fak. Univ. Ern,J,NA
"SARASWATHI-DEVI, L.",Pathogenic soil fungi in relation to the inorganic nutrition of their host plants,MEM INDIAN BOT SOC,J,NA
"SCROGGS, M. G.","Some relationships of the diet of the host to Haemonchus, Ostertagia and Trichostrongylus, nematode parasites of sheep.",Dissertation Abstracts: B,J,NA
"Gonzalez-Mula, Almudena; Lang, Julien; Grandclement, Catherine; Naquin, Delphine; Ahmar, Mohammed; Soulere, Laurent; Queneau, Yves; Dessaux, Yves; Faure, Denis",Lifestyle of the biotroph Agrobacterium tumefaciens in the ecological niche constructed on its host plant,NEW PHYTOLOGIST,J,https://doi.org/10.1111/nph.15164
"DELAHAYE, J.",[English title not available],"Contribution a l'etude de la biologie des protostrongylines, agents de pneumonies vermineuses chez les ovides.",J,NA
"Hellstrom, K; Rautio, P; Huhta, AP; Tuomi, J","Tolerance of an annual hemiparasite, Euphrasia stricta agg., to simulated grazing in relation to the host environment",FLORA,J,https://doi.org/10.1078/0367-2530-00152
"Bing, XiaoLi; Attardo, Geoffrey M.; Vigneron, Aurelien; Aksoy, Emre; Scolari, Francesca; Malacrida, Anna; Weiss, Brian L.; Aksoy, Serap",Unravelling the relationship between the tsetse fly and its obligate symbiont Wigglesworthia: transcriptomic and metabolomic landscapes reveal highly integrated physiological networks,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,J,https://doi.org/10.1098/rspb.2017.0360
"COOPER, KM; GRANDISON, GS",INTERACTION OF VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI AND ROOTKNOT NEMATODE ON CULTIVARS OF TOMATO AND WHITE CLOVER SUSCEPTIBLE TO MELOIDOGYNE-HAPLA,ANNALS OF APPLIED BIOLOGY,J,https://doi.org/10.1111/j.1744-7348.1986.tb01994.x
"ISMEN, H.; MACNEILL, B.",A study of the virus streak complex in Tomatoes.,Proceedings Canadian Phytopathology Society,J,NA
"AHO, JM; KENNEDY, CR","SEASONAL POPULATION-DYNAMICS OF THE NEMATODE CYSTIDICOLOIDES-TENUISSIMA (ZEDER) FROM THE RIVER SWINCOMBE, ENGLAND",JOURNAL OF FISH BIOLOGY,J,https://doi.org/10.1111/j.1095-8649.1984.tb04894.x
BRAILA M G,UROPATHOGENICITY OF ESCHERICHIA-COLI,Revista de Igiena Bacteriologie Virusologie Parazitologie Epidemiologie Pneumoftiziologie Seria Bacteriologia Virusologia Parazitologia Epidemiologia,J,NA
"Shi, ZH; Liu, SS; Li, YX",Cotesia plutellae parasitizing Plutella xylostella: Host-age dependent parasitism and its effect on host development and food consumption,BIOCONTROL,J,https://doi.org/10.1023/A:1016577406820
"Macfarlane, G. T.; Macfarlane, L. E.","Acquisition, Evolution and Maintenance of the Normal Gut Microbiota",DIGESTIVE DISEASES,J,https://doi.org/10.1159/000268127
"Sorensen, Megan E. S.; Wood, A. Jamie; Minter, Ewan J. A.; Lowe, Chris D.; Cameron, Duncan D.; Brockhurst, Michael A.",Comparison of Independent Evolutionary Origins Reveals Both Convergence and Divergence in the Metabolic Mechanisms of Symbiosis,CURRENT BIOLOGY,J,https://doi.org/10.1016/j.cub.2019.11.053
"Zhao, Chaoyang; Nabity, Paul D.",Plant manipulation through gall formation constrains amino acid transporter evolution in sap-feeding insects,BMC EVOLUTIONARY BIOLOGY,J,https://doi.org/10.1186/s12862-017-1000-5
"Reddy, Vineel P.; Chinta, Krishna C.; Saini, Vikram; Glasgow, Joel N.; Hull, Travis D.; Traylor, Amie; Rey-Stolle, Fernanda; Soares, Miguel P.; Madansein, Rajhmun; Rahman, Md Aejazur; Barbas, Coral; Nargan, Kievershen; Naidoo, Threnesan; Ramdial, Pratistadevi K.; George, James F.; Agarwal, Anupam; Steyn, Adrie J. C.",Ferritin H Deficiency in Myeloid Compartments Dysregulates Host Energy Metabolism and Increases Susceptibility to Mycobacterium tuberculosis Infection,FRONTIERS IN IMMUNOLOGY,J,https://doi.org/10.3389/fimmu.2018.00860
"PARKINS, JJ; HOLMES, PH; BREMNER, KC",PATHOPHYSIOLOGY OF OVINE OSTERTAGIASIS - SOME NITROGEN BALANCE AND DIGESTIBILITY STUDIES,RESEARCH IN VETERINARY SCIENCE,J,https://doi.org/10.1016/S0034-5288(18)33933-X
"Caragata, Eric Pearce; Rezende, Fernanda Oliveira; Simoes, Taynana Cesar; Moreira, Luciano Andrade",Diet-Induced Nutritional Stress and Pathogen Interference in Wolbachia-Infected Aedes aegypti,PLOS NEGLECTED TROPICAL DISEASES,J,https://doi.org/10.1371/journal.pntd.0005158
"SRICHAIKUL, T; SIRIASAWAKUL, T; POSHYACHINDA, M",FERROKINETICS IN PATIENTS WITH MALARIA - HEMOGLOBIN SYNTHESIS AND NORMOBLASTS INVITRO,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,J,https://doi.org/10.1016/0035-9203(76)90048-1
"Driscoll, Timothy; Gabbard, Joseph L.; Mao, Chunhong; Dalay, Oral; Shukla, Maulik; Freifeld, Clark C.; Hoen, Anne Gatewood; Brownstein, John S.; Sobral, Bruno W.",Integration and visualization of host-pathogen data related to infectious diseases,BIOINFORMATICS,J,https://doi.org/10.1093/bioinformatics/btr391
"HECHEMY, KE; MCKEE, M; MARKO, M; SAMSONOFF, WA; ROMAN, M; BACA, O",3-DIMENSIONAL RECONSTRUCTION OF COXIELLA-BURNETTI-INFECTED L929-CELLS BY HIGH-VOLTAGE ELECTRON-MICROSCOPY,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.61.10.4485-4488.1993
"MACKENZIE, K","LONG-TERM CHANGES IN THE PREVALENCE OF 2 HELMINTH-PARASITES (CESTODA, TRYPANORHYNCHA) INFECTING MARINE FISH",JOURNAL OF FISH BIOLOGY,J,https://doi.org/10.1111/j.1095-8649.1987.tb05216.x
"Bose, Joy; Schulte, Rebecca D.",Testing GxG interactions between coinfecting microbial parasite genotypes within hosts,FRONTIERS IN GENETICS,J,https://doi.org/10.3389/fgene.2014.00124
"Lizardo, Kezia; Almonte, Vanessa; Law, Calvin; Aiyyappan, Janeesh Plakkal; Cui, Min-Hui; Nagajyothi, Jyothi F.",Diet regulates liver autophagy differentially in murine acute Trypanosoma cruzi infection,PARASITOLOGY RESEARCH,J,https://doi.org/10.1007/s00436-016-5337-2
"Dheer, Rishu; Patterson, Jena; Dudash, Mark; Stachler, Elyse N.; Bibby, Kyle J.; Stolz, Donna B.; Shiva, Sruti; Wang, Zeneng; Hazen, Stanley L.; Barchowsky, Aaron; Stolz, John F.",Arsenic induces structural and compositional colonic microbiome change and promotes host nitrogen and amino acid metabolism,TOXICOLOGY AND APPLIED PHARMACOLOGY,J,https://doi.org/10.1016/j.taap.2015.10.020
"WENNSTROM, A; ERICSON, L",THE EFFECT OF THE SYSTEMIC SMUT UROCYSTIS CARCINODES ON THE LONG-LIVED HERB ACTAEA-SPICATA,OIKOS,J,https://doi.org/10.2307/3546178
"Liu, Jingyao; Gao, Jiguo; Zhou, Chunkui",A Case Report on Eosinophilic Meningitis Caused by Angiostrongylus cantonensis,INTERNATIONAL JOURNAL OF MEDICAL SCIENCES,J,https://doi.org/10.7150/ijms.8.510
"Jones, Devin N; Ravelomanantsoa, Ny Anjara Fifi; Yeoman, Carl J; Plowright, Raina K; Brook, Cara E",Do gastrointestinal microbiomes play a role in bats' unique viral hosting capacity?,Trends in microbiology,J,https://doi.org/10.1016/j.tim.2021.12.009
"Kollien, AH; Schaub, GA",Trypanosoma cruzi in the rectum of the bug Triatoma infestans: Effects of blood ingestion by the starved vector,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,J,https://doi.org/10.4269/ajtmh.1998.59.166
"Kiene, Frederik; Andriatsitohaina, Bertrand; Ramsay, Malcolm S.; Rakotondravony, Romule; Strube, Christina; Radespiel, Ute",Habitat fragmentation and vegetation structure impact gastrointestinal parasites of small mammalian hosts in Madagascar,ECOLOGY AND EVOLUTION,J,https://doi.org/10.1002/ece3.7526
"Hien, Domonbabele F. D. S.; Dabire, Kounbobr R.; Roche, Benjamin; Diabate, Abdoulaye; Yerbanga, Rakiswende S.; Cohuet, Anna; Yameogo, Bienvenue K.; Gouagna, Louis-Clement; Hopkins, Richard J.; Ouedraogo, Georges A.; Simard, Frederic; Ouedraogo, Jean-Bosco; Ignell, Rickard; Lefevre, Thierry",Plant-Mediated Effects on Mosquito Capacity to Transmit Human Malaria,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1005773
"Shaw, Julia G; Friedman, Jennifer F",Iron deficiency anemia: focus on infectious diseases in lesser developed countries.,Anemia,J,https://doi.org/10.1155/2011/260380
"Hu, GG; Rijkenberg, FHJ",Ultrastructural localization of cytokinins in Puccinia recondita f.sp. tritici-infected wheat leaves,PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,J,https://doi.org/10.1006/pmpp.1997.0136
"Jarzabrowski, Michal",Significant proteases of flukes - molecular characteristic and their biological functions.,Wiadomosci Parazytologiczne,J,NA
GALIMOV V R; GALIMOVA E Z,HOSTS OF ADULT IXODES-PERSULCATUS P. SCH. AND THEIR ROLE IN THE CIRCULATION OF TICK-BORNE ENCEPHALITIS VIRUS,Meditsinskaya Parazitologiya i Parazitarnye Bolezni,J,NA
"White, JF; Bacon, CW; Hinton, DM",Modifications of host cells and tissues by the biotrophic endophyte Epichloe amarillans (Clavicipitaceae; Ascomycotina),CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,J,https://doi.org/10.1139/b97-117
